1638528670,55.83257675,772,282,0,20,33,47,39,42,39,25,28,69,24,76,19,68,66,59,52,11,8
1638528700,156.1915131,1793,544,0,100,142,168,186,169,137,80,73,195,55,143,52,124,106,107,88,24,16
1638528730,83.39030457,1019,331,0,49,63,80,77,73,48,25,22,51,17,44,15,41,39,41,32,9,5
1638528760,157.3916473,1860,583,0,97,141,169,183,167,138,84,78,197,57,152,53,137,120,117,97,25,16
1638528790,191.3244476,2185,659,0,103,157,191,201,186,156,96,90,223,67,175,58,145,125,119,100,26,17
1638528820,190.3572693,2176,657,0,103,156,190,201,185,156,96,90,222,67,175,58,144,124,118,100,26,17
1638528850,191.4001007,2187,660,0,103,157,191,201,185,157,96,90,224,67,176,58,144,125,119,100,26,17
1638528880,146.1606598,1716,534,0,91,131,157,170,155,127,76,70,181,52,139,49,126,109,107,90,23,16
1638528910,154.5295563,1821,569,0,94,137,165,179,164,135,81,76,193,56,149,52,133,115,113,95,25,16
1638528940,179.1914978,2063,628,0,95,145,178,185,173,148,88,83,207,62,163,54,136,118,115,96,25,17
1638528970,180.3209381,2073,630,0,96,145,179,186,175,148,89,84,208,63,164,55,137,118,115,96,25,17
1638529000,184.9470062,2129,648,0,97,148,182,189,177,151,90,85,211,64,167,55,139,121,116,99,26,17
1638529030,182.9488678,2106,641,0,96,147,181,188,176,149,89,84,209,63,166,55,137,119,115,97,25,17
1638529060,183.3506775,2110,642,0,96,146,181,187,176,149,89,84,209,63,166,55,138,120,116,97,25,17
1638529090,164.7054291,1902,581,0,91,138,169,176,164,140,82,78,193,59,154,52,130,115,112,94,25,16
1638529120,163.7393036,1893,579,0,91,137,167,174,163,138,80,76,187,56,144,50,127,111,108,91,24,16
1638529150,159.4490662,1836,559,0,89,134,162,171,160,134,78,73,183,55,141,49,123,108,107,90,24,16
1638529180,162.0666656,1872,572,0,91,137,167,176,164,138,81,76,191,57,147,51,127,111,108,91,24,16
1638529210,152.4874573,1784,553,0,88,132,161,170,158,133,77,73,183,54,141,50,124,110,109,92,24,16
1638529240,151.6257629,1768,546,0,88,131,160,168,157,132,77,72,181,54,140,49,125,111,109,92,24,16
